MONTH ,BID,ASK
June,0,0
July,0.91039,0.94644
August,0.91533,0.95201
September,0.92173,0.95778
October,0.92798,0.96314
November,0.94998,0.98408
December,0.95347,0.98782
January,0.95465,0.98866
February,0.95922,0.99318
March,0.96011,0.99239
April,0.97281,1.00454
May,0.98248,1.0146
June,1.04104,1.07316
July,1.08915,1.12084
August,1.14102,1.17436
September,1.13728,1.17205
October,1.14867,1.18608
November,1.16935,1.20868
December,1.22175,1.25893
January,1.27918,1.31668
February,1.34389,1.38291
March,1.38198,1.42037
April,1.41042,1.44837
May,1.43812,1.47484
June,1.46963,1.50529
July,1.48186,1.51738
August,1.46129,1.49278
September,1.43613,1.4705
October,1.42813,1.4619
November,1.41495,1.44851
December,1.41675,1.451
January,1.40998,1.44498
February,1.41205,1.44862
March,1.39969,1.43652
April,1.3979,1.43506
May,1.40808,1.44297
June,1.41798,1.44971
July,1.4294,1.46144
August,1.41644,1.4515
September,1.41828,1.44744
October,1.41396,1.4423
November,1.42847,1.45319
December,1.44687,1.47425
January,1.48497,1.51352
February,1.50962,1.54129
March,1.51049,1.53645
April,1.4988,1.52187
May,1.49766,1.52454
June,1.50319,1.52865
July,1.50316,1.52791
August,1.50656,1.53743
September,1.54311,1.57118
October,1.59549,1.6269
November,1.60032,1.6354
December,1.62676,1.66092
January,1.67162,1.70437
February,1.68679,1.71343
March,1.72794,1.74622
April,1.79547,1.81542
May,1.87086,1.899
June,1.89937,1.93233
July,1.93559,1.96967
August,1.93473,1.9569
September,1.89443,1.93118
October,1.87152,1.90586
November,1.87111,1.90395
December,1.88159,1.91181
January,1.88623,1.91755
February,1.89409,1.92119
March,1.91515,1.94366
April,1.93377,1.96425
May,1.97238,2.00107
June,1.99375,2.02273
July,2.03558,2.06268
August,2.09579,2.13296
September,2.15058,2.18538
October,2.17334,2.20428
November,2.23583,2.26381
December,2.31164,2.34294
January,2.37178,2.4041
February,2.46317,2.49337
March,2.57058,2.60243
April,2.74792,2.77826
May,2.88943,2.92099
June,3.0863,3.12087
July,3.32001,3.354
August,3.57436,3.61161
September,3.58423,3.62928
October,3.3025,3.35218
November,3.20586,3.24498
December,3.18566,3.21499
January,3.22858,3.267
February,3.39469,3.43492
March,3.60983,3.64753
April,3.80703,3.84296
May,3.92518,3.95635
June,4.25035,4.28709
July,3.68431,3.73682
August,3.97647,4.03461
September,3.86777,3.93217
October,3.76823,3.84624
November,3.79337,3.87131
December,3.79201,3.85211
January,3.88277,3.93391
February,3.9502,4.00748
March,3.83963,3.88709
April,3.81303,3.86069
May,3.81373,3.86056
June,3.8806,3.92858
July,3.93509,3.97999
August,3.93454,3.98044
September,3.94755,3.98591
October,3.95851,3.99898
November,4.0093,4.05323
December,4.23051,4.27438
January,4.26317,4.30651
February,4.41949,4.46099
March,4.51699,4.56085
April,4.19968,4.24145
May,4.26207,4.30639
